rubrique;partie;intitule;sessions_2016_2025;freq_10;sessions_2020_2025;freq_prog_actuel;freq_5_dernieres;freq_3_dernieres;freq_avec_transversal_2020_2025;nb_dossiers;derniere_apparition;annees_depuis;poids_moyen_par_session_2020_2025;poids_moyen_quand_present;nb_annees_jury;nb_difficultes_jury;transversalite;IPR;categorie;dossiers
2.1;2. Stratégie et contrôle de gestion*;Analyse et choix stratégiques;9.0;0.90;5.0;0.83;0.80;0.67;1.00;10;2024;2;0.204;0.245;2;1;5;68.8;PRIORITÉ MAXIMALE;2023 D1, 2022 D1, 2021 D1, 2021 D2, 2020 D1, 2019 D2, 2018 D1, 2017 D1, 2016 D1, 2024 D1
2.2;2. Stratégie et contrôle de gestion*;Place et rôle du contrôle de gestion stratégique;4.0;0.40;4.0;0.67;0.60;1.00;0.67;5;2025;1;0.122;0.182;3;1;6;65.9;PRIORITÉ MAXIMALE;2023 D2, 2025 D3, 2020 D1, 2024 D1, 2024 D2
2.5;2. Stratégie et contrôle de gestion*;La planification et le diagnostic stratégique;5.0;0.50;3.0;0.50;0.60;1.00;1.00;5;2025;1;0.058;0.115;3;1;8;64.6;PRIORITÉ MAXIMALE;2023 D2, 2025 D1, 2019 D3, 2016 D2, 2024 D2
4.1;4. Management des ressources humaines*;La gestion des ressources humaines;5.0;0.50;4.0;0.67;0.80;0.67;0.67;5;2025;1;0.086;0.128;3;1;7;63.9;PRIORITÉ MAXIMALE;2023 D3, 2022 D2, 2021 D3, 2025 D2, 2017 D3
3.3;3. Pilotage des transformations*;Le contrôle de gestion et le pilotage stratégique;7.0;0.70;5.0;0.83;0.80;0.67;1.00;7;2025;1;0.116;0.139;2;0;11;59.1;PRIORITÉ TRÈS ÉLEVÉE;2023 D3, 2022 D2, 2021 D4, 2025 D1, 2020 D2, 2019 D1, 2018 D1
2.3;2. Stratégie et contrôle de gestion*;Approche du marketing stratégique;4.0;0.40;4.0;0.67;0.60;0.33;0.67;5;2024;2;0.135;0.203;1;0;5;38.8;PRIORITÉ ÉLEVÉE;2022 D1, 2021 D2, 2020 D1, 2024 D1, 2024 D2
4.2;4. Management des ressources humaines*;La gestion des compétences;4.0;0.40;3.0;0.50;0.60;0.67;0.67;4;2025;1;0.064;0.128;1;0;5;37.3;PRIORITÉ ÉLEVÉE;2023 D3, 2022 D2, 2025 D2, 2019 D2
2.4;2. Stratégie et contrôle de gestion*;La gestion du périmètre de l'entité;5.0;0.50;3.0;0.50;0.60;1.00;0.50;5;2025;1;0.060;0.121;0;0;5;37.0;PRIORITÉ ÉLEVÉE;2023 D2, 2025 D3, 2019 D3, 2017 D2, 2024 D2
2.6;2. Stratégie et contrôle de gestion*;Analyse des parties prenantes et structures de gouvernance;5.0;0.50;3.0;0.50;0.60;0.67;0.50;5;2025;1;0.078;0.157;0;0;5;34.4;PRIORITÉ ÉLEVÉE;2023 D2, 2022 D3, 2025 D1, 2018 D1, 2016 D1
1.2;1. Organisation et positionnement du CG*;Le positionnement du contrôle de gestion et l'identification du métier comme aide à la stratégie;1.0;0.10;1.0;0.17;0.20;0.00;0.33;1;2021;5;0.022;0.130;1;0;4;23.6;À MAÎTRISER;2021 D4
1.1;1. Organisation et positionnement du CG*;Évolution des modèles d'organisation;4.0;0.40;1.0;0.17;0.20;0.00;0.33;4;2021;5;0.022;0.130;0;0;4;23.1;À MAÎTRISER;2021 D3, 2019 D1, 2017 D2, 2016 D1
3.1;3. Pilotage des transformations*;Le management du changement;2.0;0.20;0;0.00;0.00;0.00;0.33;2;2018;8;0.000;0.000;1;0;5;20.0;À MAÎTRISER;2018 D2, 2016 D2
3.2;3. Pilotage des transformations*;Management et pilotage par les processus;2.0;0.20;1.0;0.17;0.00;0.00;0.17;2;2020;6;0.033;0.200;0;0;2;19.7;COMPLÉMENT;2020 D2, 2018 D2
2.7;2. Stratégie et contrôle de gestion*;Contrôle de gestion et le changement organisationnel;0;0.00;0;0.00;0.00;0.00;0.00;0;;;0.000;0.000;1;0;0;12.5;COMPLÉMENT;
1.3;1. Organisation et positionnement du CG*;Le contrôle de gestion et les systèmes d'information et de communication;0;0.00;0;0.00;0.00;0.00;0.00;0;;;0.000;0.000;0;0;0;7.5;COMPLÉMENT;
