rubrique;partie;intitule_officiel;support_cours;statut_declare_notion
1.1;1. Gouvernance des SI (30 h);Position de la fonction SI au sein de l'organisation;S1 Position fonction informatique (10 p.);I/A
1.2;1. Gouvernance des SI (30 h);La stratégie SI;S2 Stratégie et gouvernance informatique (13 p.);A
1.3;1. Gouvernance des SI (30 h);Évolution des systèmes d'information;S3 Urbanisation des SI (10 p.);I/A
1.4;1. Gouvernance des SI (30 h);Management stratégique des données (Big Data-Mégadonnées);SE (Expert DSCG UE5) p.79, 82, 209;A/I
2.1;2. Gestion de projet SI (30 h);Les enjeux d'un projet;"S4 Gestion de projets de SI (43 p.) ; S6";A/U
2.2;2. Gestion de projet SI (30 h);La mise en œuvre d'un projet;"S4 ; SE p.247, 254-257";A
2.3;2. Gestion de projet SI (30 h);Maintenance;S6 Contrats de service (18 p.);I
2.4;2. Gestion de projet SI (30 h);Gestion des risques du projet;S4/S6;A
2.5;2. Gestion de projet SI (30 h);Gestion des connaissances;S12 Outils collaboratifs p.1;I
3.1;3. Systèmes d'entreprise (15 h);La place des systèmes d'entreprise (SE);S5 Progiciels de gestion intégrée (30 p.);A/I
3.2;3. Systèmes d'entreprise (15 h);Le cycle de vie des systèmes d'entreprise (SE);S5;I
4.1;4. Performance informationnelle (30 h);Définition d'indicateurs;S7 Gestion de la performance informatique (29 p.);A
4.2;4. Performance informationnelle (30 h);Le contrat de services;"S6 ; SE p.125";A
4.3;4. Performance informationnelle (30 h);Les coûts;S7;I
4.4;4. Performance informationnelle (30 h);Les budgets;S7;I
4.5;4. Performance informationnelle (30 h);Évaluation des projets de systèmes d'information;S7;I
5.1;5. Architecture et sécurité (15 h);Architecture technique;S8 Architectures techniques;I/A
5.2;5. Architecture et sécurité (15 h);Mise en place d'une architecture de confiance;"SE p.160-163 ; fiche ACD13";A
5.3;5. Architecture et sécurité (15 h);Surveillance et prévention;"S9 Sécurité des SI ; note Drive UE5-07 « sécurité moderne »";A
6.1;6. Audit du SI (20 h);Audit du système d'information;"S10 Audit et gouvernance ; SE p.242-244 ; ACD11";I
6.2;6. Audit du SI (20 h);Gouvernance d'entreprise et environnement spécifique pour l'auditeur ou le conseil;S10, S2;I
6.3;6. Audit du SI (20 h);Audit et conseils assistés;SE p.292-305;I
6.4;6. Audit du SI (20 h);Contrôle et reporting;"SE p.79, 296 ; ACD12";I
