ue;annee;dossier;P_avant;S_avant;P_apres;S_apres;justification
UE2;2024;1;3.1|3.2|1.2;6.2|3.3;3.1|3.2|1.2;6.3|3.3;OPR = « offres publiques » : 6.3 et non 6.2 (programme officiel 6.3)
UE2;2024;2;6.2|2.2;1.1;6.3|2.2;6.2|1.1;OPR/retrait obligatoire = offres publiques (6.3) · 6.2 conservé en secondaire (opérations sur le capital)
UE2;2019;1;2.1|3.1|5.2;1.2|4.3|6.4;2.1|3.1|5.2;1.2|4.3|6.4|2.2;notation = 2.2 (« la notation et le scoring ») ajoutée en secondaire
UE3;2023;1;2.1;2.5;2.1;;2.5 retiré : aucune question de planification
UE3;2023;2;2.4|2.2|2.6|2.5;;2.5|2.4|2.6;;2.2 retiré : relocalisation/internalisation = gestion du périmètre (2.4) · écarts = 2.5
UE3;2023;3;4.2|4.1|3.3;;4.2|4.1|3.2;;coûts cachés = « analyse des dysfonctionnements » (3.2) · TBS = 4.1
UE3;2022;1;2.1|2.3;2.5;2.1|2.3;;2.5 retiré : aucune question de planification (corrigé)
UE3;2022;2;4.1|4.2|3.3;1.1;4.1|4.2;3.2|1.1;coûts cachés = 3.2 (secondaire) · 3.3 retiré
UE3;2022;3;2.6;3.3;2.6;1.2;RSE/DD = 1.2 plutôt que 3.3
UE3;2021;1;2.1;2.5;2.1;;2.5 retiré
UE3;2021;2;2.3|2.1;;2.1|2.5;2.3;business model = 2.1 (notion) et 2.5 (« analyser un business model »)
UE3;2021;3;4.1|1.1;4.2|3.1;4.1|4.2;1.1;1.1 en secondaire (management libéré) · 4.2 (rémunération, fidélisation) en principal
UE3;2021;4;1.2|3.3;4.1|2.5;1.2|2.5|4.2;3.3;BSPCE = rémunération (4.2) · CA/rentabilité prévisionnels = 2.5
UE3;2025;1;2.5|2.6|3.3;1.2;2.5|2.6|1.2;3.3;RSE vue par le CG = 1.2 (programme : « place du CG dans le DD et la RSE ») · 3.3 passe en secondaire
UE3;2025;3;2.2|2.4;2.6;2.4;2.1|2.2|2.6;prix de cession interne/transfert = 2.4 (programme) · 2.2 (risques, dont fiscal) en secondaire
UE3;2020;1;2.1|2.2|2.3;2.5;2.1|2.3|2.5;;2.2 retiré : tarification dynamique = 2.3 · coûts/marges/seuil = technique mobilisée en 2.5
UE3;2020;2;3.2|3.3;3.1;3.2|3.3;3.1|2.2;audit interne vs diagnostic = 2.2 en secondaire
UE3;2019;1;1.1|3.3;2.6;1.1|1.2;3.3|2.6;RSE/ISO 26000 = 1.2
UE3;2019;3;2.4|2.5;2.2;2.4|2.5;2.1;2.2 remplacé par 2.1 (modalités de développement)
UE3;2018;1;2.1|2.6|3.3;3.1;2.1|2.6|3.2;1.2|3.3|3.1;coûts cachés = 3.2 · RSE = 1.2
UE3;2017;2;1.1|2.4;2.7;1.1|2.1;2.4|2.7;croissance internationale = modalités de développement (2.1)
UE3;2017;3;4.1;2.5;4.1;;écarts de masse salariale = 4.1 (programme : « calculer les écarts et les effets de la masse salariale »)
UE3;2024;1;2.1|2.2|2.3;2.5;2.1|2.3|2.5;;2.2 retiré : la grille de prix relève de 2.3 (tarification) et les prévisions de 2.5
UE3;2024;2;2.2|2.3|2.4|2.5;3.3;2.5|2.3|2.4;3.3;2.2 retiré : facteur rare = technique de DCG mobilisée pour un choix de programme (2.5), pas une notion de 2.2
UE5;2025;2;5.3|5.2;5.1;5.3|5.2;5.1|4.2|1.3;PCA = notion de 4.2 · BYOD = 1.3 (programme) en secondaire
UE5;2024;3;2.2|5.3;2.1|2.4|5.2;2.2|1.3;5.3|1.1|2.1|2.4|5.2;BYOD = 1.3 (programme : « Bring Your Own Device ») · 5.3 en secondaire
UE5;2021;3;3.1|5.2;5.3;3.1|5.2;5.3|4.2;PCA/PRA = 4.2 en secondaire
UE5;2020;2;5.3|5.2;2.5;5.3|5.2;2.5|4.2;PCA = 4.2 en secondaire
UE5;2017;2;5.1|4.2|4.3;6.2;5.1|4.2|4.3;6.2|1.3;référentiel ITIL = 1.3 en secondaire
UE5;2016;2;3.2|2.2|4.5;5.1;3.2|2.2|4.5;5.1|1.3;référentiels = 1.3 en secondaire
